"email","password","lastName","firstName","phoneNumber","gender","parentName","parentPhoneNumber","issuesText","verificationToken","isVerified","extraLanguage","createdAt","updatedAt","cityId","groupId","schoolId"
"student10@gmail.com","$2b$10$A74thy0QJeKuZYcOV7/iIeiow3q7sM.zUb7nunaG8SIOHuwd0llOW","משפחה","תלמיד10","0548552120","זכר","אבוש","0549552120","בעייה בסחיבת חפצים כבדים",NULL,True,"English","2024-03-18 15:50:33.77+00","2024-03-29 13:46:45.238+00",2,45,4
"student11@gmail.com","$2b$10$fF99c/IyxJXbK7IBPIBdCO3.SUog//oK9VBzCJW731.xsfkx28s1q","משפחה","תלמיד11","0548552120","נקבה","אבוש","0549552120","אלרגי לחתולים",NULL,True,"","2024-03-18 15:50:35.382+00","2024-03-29 07:52:50.728+00",2,NULL,4
"student12@gmail.com","$2b$10$AKxgNiGIFtK7azG8o4mSeOtnIcDFC.9Pi3VHTud8menLtsKO.3vXK","משפחה","תלמיד12","0548552120","נקבה","אבוש","0549552120","",NULL,True,"Arabic","2024-03-18 15:50:36.867+00","2024-03-18 15:50:39.053+00",2,NULL,4
"student1@gmail.com","$2b$10$QlU2swKFmtgXACqjyUUWHegwJUg6Rb4PwDNoI4a98.QsZ/5jd6MRO","משפחה","תלמיד1","0548552120","זכר","אבוש","0549552120","בעייה בסחיבת חפצים כבדים",NULL,True,"English","2024-03-18 15:50:18.33+00","2024-03-18 15:50:20.334+00",1,NULL,1
"student2@gmail.com","$2b$10$7wO3GRKyDW7baJv/9CLlMOF10e9dhDcQnxHa9yZ2r0p0yaAsWuyS2","משפחה","תלמיד2","0548552120","זכר","אבוש","0549552120","אלרגי לחתולים",NULL,True,"","2024-03-18 15:50:20.413+00","2024-03-18 15:50:21.805+00",1,NULL,1
"student3@gmail.com","$2b$10$LkPGvW9YCEk0tASJn1CytumwxFzxgAflAeZ5SxKEzDJC818R4kHU6","משפחה","תלמיד3","0548552120","זכר","אבוש","0549552120","",NULL,True,"Russian","2024-03-18 15:50:21.882+00","2024-03-18 15:50:23.385+00",1,NULL,1
"student4@gmail.com","$2b$10$.SDLNu3nWFRQ1sVo5whmUu0DlxwA5g.kfj7.6QEAF0A0I2WgmVfBO","משפחה","תלמיד4","0548552120","נקבה","אבוש","0549552120","בעייה בסחיבת חפצים כבדיםבעייה בסחיבת חפצים כבדיםבעייה בסחיבת חפצים כבדיםבעייה בסחיבת חפצים כבדיםבעייה בסחיבת חפצים כבדיםבעייה בסחיבת חפצים כבדיםבעייה בסחיבת חפצים כבדים",NULL,True,"Spanish","2024-03-18 15:50:23.456+00","2024-03-29 15:29:25.022+00",1,49,2
"student5@gmail.com","$2b$10$RVGLvgc8ai01qdpxQgbsy.VhRvGbnui3tieelT5nIv55fgHhG9TpC","משפחה","תלמיד5","0548552120","נקבה","אבוש","0549552120","",NULL,True,"","2024-03-18 15:50:25.191+00","2024-03-29 15:29:38.486+00",1,49,2
"student6@gmail.com","$2b$10$mT9awpvaGj3jE0VOJxL0xOSz/QH4aoGBnR1ORAzolb0O9yWIdTfS2","משפחה","תלמיד6","0548552120","זכר","אבוש","0549552120","",NULL,True,"Russian","2024-03-18 15:50:26.77+00","2024-03-29 15:30:59.326+00",1,39,2
"student7@gmail.com","$2b$10$Of3rSsgk3r/nMs6tCgpUA.WzB0YxQ1nE8w5ODagfsLB1KSMjUOpQy","משפחה","תלמיד7","0548552120","אחר","אבוש","0549552120","בעייה בסחיבת חפצים כבדים",NULL,True,"English","2024-03-18 15:50:28.303+00","2024-03-29 14:31:55.225+00",2,1,3
"student8@gmail.com","$2b$10$AuXsV9TVaNUAfgq8ZXpM3e1bNG1JjrGMh9FvLP1tkZBbaY3EIJGZ2","משפחה","תלמיד8","0548552120","אחר","אבוש","0549552120","צריך לסיים מוקדם",NULL,True,"","2024-03-18 15:50:29.967+00","2024-03-26 16:52:31.116+00",2,1,3
"student9@gmail.com","$2b$10$aQNCoUWO5Me8H2a8vC9GZuoKA8utfgnAH5ByMjCaQLvT2oFYSNdoa","משפחה","תלמיד9","0548552120","זכר","אבוש","0549552120","",NULL,True,"Russian","2024-03-18 15:50:31.649+00","2024-03-29 13:45:58.599+00",2,34,3
"yoavital98@gmail.com","$2b$10$DDgYC8l0Nof/wWRJATtU7.M2zkzF3XuLEec.n5IQEptIqE6hoLePi","אביטל","יואב","0504313126","Male","dada","0504313126",NULL,NULL,True,NULL,"2024-03-28 22:00:43.329+00","2024-03-29 16:51:42.214+00",1,NULL,1
